scheduler,n_tasks,edge_prob,ccr,comp_min,comp_max,noc_rows,noc_cols,processor_count,alpha,beta,seed,achieved_ccr,runtime_ms,total_computation_work,serial_speedup,makespan,primary_task_count,duplicate_task_count,duplication_ratio,total_task_instance_count,task_instance_ratio,communication_count,average_communication_latency,total_communication_time,average_link_utilization,max_link_utilization,average_processor_utilization,max_processor_utilization,baseline_makespan_heft,speedup_vs_heft,normalized_makespan_vs_heft
contention_aware,40,0.25,5.0,5,20,4,4,16,0.0,1.0,1,4.999999999999999,214.393200003542,500.86789302425416,0.9908358768279489,505.50036059223766,40,0,0.0,40,1.0,118,13.297450911981963,1569.0992076138716,0.0862754021109106,0.9133225260000906,0.06192724230174681,0.3505282823005478,211.49457695106838,0.4183865995729144,2.3901339120822507
contention_aware,40,0.25,5.0,5,20,4,4,16,0.0,1.0,2,5.0,215.36679999553598,504.33877821726617,1.0025058534938502,503.0781381072105,40,0,0.0,40,1.0,109,11.982184760711009,1306.0581389175,0.06427055055905163,0.9377272447255706,0.06265661584336564,0.4491081595575391,233.10236670111354,0.4633522092177206,2.1581854582895033
contention_aware,40,0.4,0.1,5,20,4,4,16,0.0,1.0,0,0.1,251.71499999123625,522.0091180280147,1.760470736658889,296.51678222082245,40,0,0.0,40,1.0,169,0.1767249958399386,29.86652429694962,0.0026652087196228787,0.03658618537713159,0.11002942104118056,1.0,296.51678222082245,1.0,1.0
contention_aware,40,0.4,0.1,5,20,4,4,16,0.0,1.0,1,0.10000000000000002,315.7110000029206,500.86789302425416,2.2137887625673445,226.24918036145175,40,0,0.0,40,1.0,209,0.15347823767991065,32.07695167510133,0.004240330035125496,0.060674888454949914,0.13836179766045906,0.9993346669427259,226.24918036145175,1.0,1.0
contention_aware,40,0.4,0.1,5,20,4,4,16,0.0,1.0,2,0.1,318.58600000850856,504.33877821726617,2.037210695515805,247.5633862159612,40,0,0.0,40,1.0,193,0.16048338119557193,30.973292570745382,0.0034700252424575296,0.049588871035961754,0.1273256684697378,1.0,247.5633862159612,1.0,1.0
contention_aware,40,0.4,1.0,5,20,4,4,16,0.0,1.0,0,1.0,272.2107000008691,522.0091180280147,1.735475801355622,300.78732162111436,40,0,0.0,40,1.0,165,1.7721639623446035,292.4070537868596,0.025074430043588634,0.3687050461954007,0.1084672375847264,0.9797938493327867,300.78732162111436,1.0,1.0
contention_aware,40,0.4,1.0,5,20,4,4,16,0.0,1.0,1,1.0,359.5848999975715,500.86789302425416,2.188144160635882,228.90077447123062,40,0,0.0,40,1.0,209,1.5464464221733818,323.2073022342368,0.0389976714972582,0.596626390002529,0.13675901003974264,0.8850589174674856,228.90077447123062,1.0,1.0
contention_aware,40,0.4,1.0,5,20,4,4,16,0.0,1.0,2,0.9999999999999999,342.1239000163041,504.33877821726617,2.020836537875477,249.56930892959898,40,0,0.0,40,1.0,193,1.6048338119557162,309.7329257074532,0.03442134783968875,0.4919029861861862,0.1263022836172173,0.991962462362695,249.03456445196778,0.9978573307754679,1.0021472701141223
contention_aware,40,0.4,5.0,5,20,4,4,16,0.0,1.0,0,5.0,310.93129998771474,522.0091180280147,1.2259080725366325,425.8142431086863,40,0,0.0,40,1.0,127,8.702539412527427,1105.2225053909833,0.059017217324994334,0.9183783975714527,0.07661925453353953,0.7874124658072225,338.80845683250317,0.7956719680370685,1.2567993346140005
contention_aware,40,0.4,5.0,5,20,4,4,16,0.0,1.0,1,5.0,379.68429998727515,500.86789302425416,0.8887663023385545,563.5540993243693,40,0,0.0,40,1.0,187,7.665147730756752,1433.3826256515126,0.06758463462024249,0.9497808610474282,0.05554789389615965,0.4211366970345488,258.1371632652744,0.45805214366242475,2.183157559321412
contention_aware,40,0.4,5.0,5,20,4,4,16,0.0,1.0,2,5.0,374.6806000126526,504.33877821726617,0.8556327677275235,589.4336884230607,40,0,0.0,40,1.0,158,7.8553877631379665,1241.1512665757987,0.0476239800734335,0.9552075595771848,0.05347704798297019,0.4260868341318477,277.6862009313693,0.4711067697441523,2.122661070107479
classical_duplication,20,0.25,0.1,5,20,4,4,16,0.0,1.0,0,0.1,101.46789997816086,253.70556034875474,2.27531013827679,111.50372693407812,20,6,0.3,26,1.3,0,0.0,0.0,0.0,0.0,0.1881078530668188,1.0,111.50372693407812,1.0,1.0
classical_duplication,20,0.25,0.1,5,20,4,4,16,0.0,1.0,1,0.09999999999999999,92.52409997861832,239.10609457567048,3.606406581553344,66.300371067059,20,5,0.25,25,1.25,0,0.0,0.0,0.0,0.0,0.2935792130855297,0.9997944774719625,66.34551615523877,1.0006809175793918,0.9993195457538663
classical_duplication,20,0.25,0.1,5,20,4,4,16,0.0,1.0,2,0.1,126.1827000125777,236.04939043396465,2.5689559063719716,91.88534137486512,20,7,0.35,27,1.35,0,0.0,0.0,0.0,0.0,0.23367333279215796,1.0,91.88534137486512,1.0,1.0
classical_duplication,20,0.25,1.0,5,20,4,4,16,0.0,1.0,0,0.9999999999999999,105.4405000177212,253.70556034875474,2.27531013827679,111.50372693407812,20,6,0.3,26,1.3,0,0.0,0.0,0.0,0.0,0.18773678331706006,1.0,111.50372693407812,1.0,1.0
classical_duplication,20,0.25,1.0,5,20,4,4,16,0.0,1.0,1,0.9999999999999999,90.1875999988988,239.10609457567048,3.1956814349567817,74.82163020385796,20,8,0.4,28,1.4,0,0.0,0.0,0.0,0.0,0.2900457779666002,0.9668682125775887,81.41777052075105,1.0881582010298536,0.9189840218578337
classical_duplication,20,0.25,1.0,5,20,4,4,16,0.0,1.0,2,1.0,134.05190000776201,236.04939043396465,2.383578426230562,99.03151825688313,20,8,0.4,28,1.4,0,0.0,0.0,0.0,0.0,0.2261905886078735,0.9278393686393742,99.83711094967897,1.0081347101102316,0.9919309294396361
classical_duplication,20,0.25,5.0,5,20,4,4,16,0.0,1.0,0,5.0,114.99249999178573,253.70556034875474,1.8402534341362076,137.86446781871706,20,5,0.25,25,1.25,0,0.0,0.0,0.0,0.0,0.14468309629486772,0.9566702577195528,178.4619452783487,1.2944738270996319,0.7725146534948311
classical_duplication,20,0.25,5.0,5,20,4,4,16,0.0,1.0,1,5.0,98.2644000032451,239.10609457567048,2.0764059896665437,115.15382625825947,20,6,0.3,26,1.3,0,0.0,0.0,0.0,0.0,0.1701633195114417,0.9501231229267026,127.54195073030718,1.1075789218177121,0.9028701976007649
classical_duplication,20,0.25,5.0,5,20,4,4,16,0.0,1.0,2,5.0,136.0630000126548,236.04939043396465,1.872997223177344,126.0276243408047,20,9,0.45,29,1.45,0,0.0,0.0,0.0,0.0,0.17544894377912934,0.8970003225497074,162.47760039070846,1.2892221149177223,0.7756615314218526
